"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"M20277369_edm","Other/unknown",1684,"NEW","W","M",0
"M20277369_edm","Other/unknown",1604,"NEW","B","M",0
"M20277369_edm","Other/unknown",1656,"NEW","B","F",0
"M20277369_edm","Other/unknown",1453,"NEW","B","M",0
"M20277369_edm","Other/unknown",1667,"NEW","W","F",0
"M20277369_edm","Other/unknown",1458,"NEW","W","M",0
"M20277369_edm","Other/unknown",1480,"NEW","B","M",0
"M20277369_edm","Other/unknown",3941,"NEW","W","M",0
"M20277369_edm","Other/unknown",1526,"NEW","B","F",0
"M20277369_edm","Other/unknown",1507,"NEW","B","F",0
"M20277369_edm","Other/unknown",2111,"NEW","W","F",0
"M20277369_edm","Other/unknown",2573,"NEW","W","F",1
"M20277369_edm","Other/unknown",1755,"NEW","B","F",0
"M20277369_edm","Other/unknown",3359,"NEW","B","F",0
"M20277369_edm","Other/unknown",1920,"NEW","B","M",0
"M20277369_edm","Other/unknown",1654,"NEW","W","F",0
"M20277369_edm","Other/unknown",3986,"NEW","W","M",0
"M20277369_edm","Other/unknown",6842,"NEW","B","M",0
"M20277369_edm","Other/unknown",1932,"NEW","B","F",0
"M20277369_edm","Other/unknown",1848,"NEW","W","F",0
"M20277369_edm","Other/unknown",1651,"NEW","B","M",0
"M20277369_edm","Other/unknown",2068,"NEW","W","F",0
"M20277369_edm","Other/unknown",1522,"NEW","W","M",0
"M20277369_edm","Other/unknown",2471,"NEW","W","M",1
"M20277369_edm","Other/unknown",2031,"NEW","W","M",0
"M20277369_edm","Other/unknown",3160,"NEW","B","F",0
"M20277369_edm","Other/unknown",2028,"NEW","B","M",0
"M20277369_edm","Other/unknown",1946,"NEW","W","M",0
"M20277369_edm","Other/unknown",2024,"NEW","W","F",0
"M20277369_edm","Other/unknown",2548,"OLD","W","M",1
"M20277369_edm","Other/unknown",3936,"OLD","W","M",1
"M20277369_edm","Other/unknown",1835,"NEW","B","F",0
"M20277369_edm","Other/unknown",1647,"NEW","W","F",0
"M20277369_edm","Other/unknown",1461,"NEW","W","F",0
"M20277369_edm","Other/unknown",1505,"OLD","W","F",1
"M20277369_edm","Other/unknown",1540,"OLD","W","F",1
"M20277369_edm","Other/unknown",1566,"OLD","B","F",1
"M20277369_edm","Other/unknown",2230,"OLD","B","M",1
"M20277369_edm","Other/unknown",2282,"OLD","B","M",1
"M20277369_edm","Other/unknown",1692,"OLD","W","M",1
"M20277369_edm","Other/unknown",1540,"OLD","W","F",1
"M20277369_edm","Other/unknown",1396,"OLD","W","M",1
"M20277369_edm","Other/unknown",1415,"OLD","W","F",1
"M20277369_edm","Other/unknown",1974,"OLD","W","M",0
"M20277369_edm","Other/unknown",1401,"OLD","W","M",1
"M20277369_edm","Other/unknown",1860,"OLD","W","M",1
"M20277369_edm","Other/unknown",1932,"OLD","B","F",1
"M20277369_edm","Other/unknown",2223,"OLD","W","F",1
"M20277369_edm","Other/unknown",2493,"OLD","B","F",1
"M20277369_edm","Other/unknown",2790,"OLD","B","M",0
"M20277369_edm","Other/unknown",1519,"OLD","B","F",1
"M20277369_edm","Other/unknown",1842,"OLD","W","M",1
"M20277369_edm","Other/unknown",1708,"OLD","W","M",1
"M20277369_edm","Other/unknown",1616,"OLD","B","M",0
"M20277369_edm","Other/unknown",1413,"OLD","B","M",1
"M20277369_edm","Other/unknown",1482,"OLD","B","M",0
"M20277369_edm","Other/unknown",1894,"OLD","B","M",1
"M20277369_edm","Other/unknown",3702,"OLD","B","F",1
"M20277369_edm","Other/unknown",2007,"OLD","B","M",1
"M20277369_edm","Other/unknown",1861,"OLD","B","F",0
"M20277369_edm","Other/unknown",1709,"OLD","B","F",1
