"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"57d2edf35e9bc90001f76b06","White",24773,"35","M","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4019,"47","F","H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",3866,"30","M","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",9558,"36","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5025,"35","M","H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",6341,"47","M","H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4522,"41","F","L","OLD","B",0
"57d2edf35e9bc90001f76b06","White",6172,"35","F","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",5757,"31","M","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3981,"31","F","H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4282,"67","M","L","OLD","W",0
"57d2edf35e9bc90001f76b06","White",8021,"41","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4467,"43","F","H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",3580,"65","M","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4436,"28","F","H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",6242,"47","M","H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",5434,"65","F","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",5183,"62","F","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4848,"43","F","L","OLD","W",0
"57d2edf35e9bc90001f76b06","White",6028,"40","M","L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3536,"62","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3751,"42","F","L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",6654,"57","F","H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",8273,"40","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",6785,"70","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",4014,"60","M","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",29311,"70","M","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",45759,"80","M","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",3971,"70","F","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",3808,"60","M","H","OLD","W",0
"5873b2d22bd3c90001859b76","White",8002,"80","M","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",6307,"70","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",8441,"75","M","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",5069,"75","M","H","OLD","B",0
"5873b2d22bd3c90001859b76","White",11489,"75","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",9211,"75","F","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",5714,"70","M","H","OLD","B",0
"5873b2d22bd3c90001859b76","White",5706,"70","M","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",7833,"75","M","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",9468,"65","M","L","OLD","W",0
