Username,participant_ethnicity,Response.RT,key,Target_Ethnicity,Target_Gender,scored
ZnniOZMeWellin,Other/unknown,2870,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,2258,NEW,B,F,0
ZnniOZMeWellin,Other/unknown,1932,OLD,B,M,1
Zshley,White,3527,NEW,W,M,0
Zshley,White,2720,NEW,W,M,0
Zshley,White,7293,OLD,W,F,1
Zshley,White,2478,NEW,B,M,0
Zshley,White,4870,NEW,B,M,0
Zshley,White,4469,OLD,B,M,1
Zshley,White,12156,OLD,B,M,1
Zshley,White,4188,NEW,B,F,0
Zshley,White,3009,OLD,B,M,1
Zshley,White,2894,NEW,B,M,0
Zshley,White,3484,OLD,B,F,1
Zshley,White,2639,OLD,W,F,1
Zshley,White,2213,OLD,W,M,1
Zshley,White,5222,NEW,W,M,1
Zshley,White,2033,OLD,W,M,1
Zshley,White,2676,NEW,B,F,0
Zshley,White,2984,OLD,B,F,1
Zshley,White,3150,NEW,B,F,0
Zshley,White,2366,OLD,B,M,1
Zshley,White,2272,OLD,W,M,1
Zshley,White,2630,NEW,B,M,0
Zshley,White,7189,NEW,B,M,0
Zshley,White,9025,NEW,W,F,0
Zshley,White,5140,NEW,W,M,0
Zshley,White,2902,NEW,B,F,0
Zshley,White,2223,OLD,W,F,1
Zshley,White,3074,OLD,W,F,1
Zshley,White,2638,OLD,B,M,1
Zshley,White,3506,OLD,B,F,1
Zshley,White,8417,NEW,B,F,0
Zshley,White,2224,OLD,W,M,1
Zshley,White,3928,NEW,W,M,0
Zshley,White,2161,OLD,B,F,1
Zshley,White,2154,OLD,W,F,1
Zshley,White,18766,NEW,W,F,1
Zshley,White,2043,OLD,B,M,1
Zshley,White,2764,NEW,B,F,0
Zshley,White,2523,NEW,W,M,0
Zshley,White,2552,OLD,B,F,1
Zshley,White,2000,OLD,W,M,1
Zshley,White,4241,NEW,B,F,0
Zshley,White,3865,OLD,W,M,1
Zshley,White,3235,NEW,W,F,0
Zshley,White,2088,OLD,W,F,1
Zshley,White,3852,OLD,W,F,1
Zshley,White,2612,NEW,W,M,0
Zshley,White,5135,NEW,B,F,0
Zshley,White,2597,OLD,B,F,1
Zshley,White,8459,NEW,B,M,0
Zshley,White,2479,OLD,W,F,1
Zshley,White,9272,NEW,B,M,0
Zshley,White,1736,OLD,W,M,1
Zshley,White,4063,NEW,B,F,0
Zshley,White,2154,OLD,W,M,1
Zshley,White,2383,OLD,B,M,1
Zshley,White,2233,OLD,B,F,1
Zshley,White,3579,NEW,W,F,0
Zshley,White,5077,NEW,W,F,0
Zshley,White,13111,OLD,W,M,0
Zshley,White,6294,NEW,W,F,1
Zshley,White,6694,NEW,B,F,0
Zshley,White,2769,OLD,W,F,1
Zshley,White,2216,NEW,W,F,0
Zshley,White,4905,NEW,B,M,0
Zshley,White,2211,OLD,W,M,1
Zshley,White,2799,NEW,W,M,0
Zshley,White,2659,NEW,B,M,0
Zshley,White,2117,OLD,B,F,1
Zshley,White,4174,NEW,W,F,0
Zshley,White,4673,NEW,W,M,0
Zshley,White,2653,NEW,W,F,0
Zshley,White,5480,OLD,B,M,1
Zshley,White,8465,OLD,B,F,0
Zshley,White,2173,OLD,B,M,1
Zshley,White,2177,NEW,W,F,0
Zshley,White,1843,NEW,W,M,0
Zshley,White,3790,OLD,W,F,1
Zshley,White,3937,OLD,B,F,0
Zshley,White,2406,NEW,B,M,0
Zshley,White,1907,OLD,B,M,1
ZsiZTZylor,Black,6151,OLD,W,F,1
ZsiZTZylor,Black,2655,NEW,W,M,0
ZsiZTZylor,Black,2209,OLD,W,M,1
ZsiZTZylor,Black,2198,NEW,B,M,0
ZsiZTZylor,Black,2043,OLD,W,M,1
ZsiZTZylor,Black,1974,NEW,W,F,0
ZsiZTZylor,Black,2066,OLD,B,F,1
ZsiZTZylor,Black,2950,NEW,B,M,0
ZsiZTZylor,Black,2351,OLD,B,M,0
ZsiZTZylor,Black,4491,OLD,B,M,0
ZsiZTZylor,Black,2642,NEW,W,F,0
ZsiZTZylor,Black,5563,OLD,B,F,1
ZsiZTZylor,Black,2058,OLD,B,F,1
ZsiZTZylor,Black,4077,NEW,B,F,0
ZsiZTZylor,Black,2748,NEW,W,M,0
ZsiZTZylor,Black,2393,NEW,B,F,0
ZsiZTZylor,Black,3822,OLD,B,F,1
ZsiZTZylor,Black,1857,OLD,B,M,0
ZsiZTZylor,Black,2422,OLD,B,M,1
ZsiZTZylor,Black,3884,NEW,B,F,0
ZsiZTZylor,Black,3702,OLD,W,M,1
ZsiZTZylor,Black,3274,NEW,B,F,0
ZsiZTZylor,Black,2124,OLD,W,M,0
ZsiZTZylor,Black,2266,OLD,B,F,1
ZsiZTZylor,Black,3879,OLD,W,M,0
ZsiZTZylor,Black,2974,OLD,W,F,0
ZsiZTZylor,Black,1783,OLD,B,M,0
ZsiZTZylor,Black,3005,OLD,W,F,1
ZsiZTZylor,Black,2715,OLD,B,M,0
ZsiZTZylor,Black,3652,OLD,B,F,1
ZsiZTZylor,Black,2472,OLD,W,M,0
ZsiZTZylor,Black,2568,OLD,W,M,1
ZsiZTZylor,Black,3341,OLD,W,M,0
ZsiZTZylor,Black,3418,NEW,B,F,0
ZsiZTZylor,Black,2586,OLD,W,F,0
ZsiZTZylor,Black,2656,NEW,W,F,0
ZsiZTZylor,Black,3407,OLD,W,F,1
ZsiZTZylor,Black,2080,OLD,B,F,1
ZsiZTZylor,Black,1838,OLD,B,M,1
ZsiZTZylor,Black,4125,OLD,B,F,1
ZsiZTZylor,Black,2246,NEW,B,M,0
ZsiZTZylor,Black,2552,NEW,B,M,0
ZsiZTZylor,Black,2204,NEW,W,M,0
ZsiZTZylor,Black,2826,NEW,B,F,0
ZsiZTZylor,Black,2308,OLD,W,M,0
ZsiZTZylor,Black,5658,NEW,B,M,0
ZsiZTZylor,Black,2308,NEW,B,M,0
ZsiZTZylor,Black,2382,NEW,W,M,0
ZsiZTZylor,Black,1806,NEW,W,M,0
ZsiZTZylor,Black,2988,OLD,B,M,0
ZsiZTZylor,Black,2557,OLD,B,F,1
ZsiZTZylor,Black,2357,OLD,B,M,1
ZsiZTZylor,Black,2253,OLD,B,F,1
ZsiZTZylor,Black,2084,NEW,W,F,0
ZsiZTZylor,Black,3987,NEW,W,F,0
ZsiZTZylor,Black,2353,OLD,W,F,0
ZsiZTZylor,Black,2541,OLD,W,F,0
ZsiZTZylor,Black,2614,NEW,B,M,0
ZsiZTZylor,Black,1978,NEW,W,F,0
ZsiZTZylor,Black,2399,NEW,B,M,0
ZsiZTZylor,Black,2227,NEW,B,F,0
ZsiZTZylor,Black,1975,NEW,W,M,0
ZsiZTZylor,Black,2620,OLD,W,F,1
ZsiZTZylor,Black,2618,NEW,W,F,0
ZsiZTZylor,Black,2893,NEW,B,M,0
ZsiZTZylor,Black,3000,NEW,B,F,0
ZsiZTZylor,Black,2692,NEW,W,F,0
ZsiZTZylor,Black,4437,NEW,B,F,1
ZsiZTZylor,Black,2429,OLD,W,M,0
ZsiZTZylor,Black,3081,NEW,W,M,0
ZsiZTZylor,Black,2359,OLD,W,F,1
ZsiZTZylor,Black,5150,NEW,W,M,0
ZsiZTZylor,Black,4164,NEW,B,F,0
ZsiZTZylor,Black,2075,NEW,W,F,0
ZsiZTZylor,Black,2823,NEW,W,F,0
ZsiZTZylor,Black,2342,NEW,W,M,0
ZsiZTZylor,Black,2496,OLD,B,M,1
ZsiZTZylor,Black,2489,NEW,W,M,0
ZsiZTZylor,Black,2371,OLD,W,F,1
