"Username","participant_ethnicity","Response.RT","Stimuli.Stimuli.Notes_3","key","Target_Ethnicity","scored"
"57d2edf35e9bc90001f76b06","White",3178,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",2965,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4201,"L","OLD","W",0
"57d2edf35e9bc90001f76b06","White",4126,"H","NEW","B",0
"57d2edf35e9bc90001f76b06","White",3678,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",4629,"H","NEW","W",1
"57d2edf35e9bc90001f76b06","White",3468,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",4389,"L","NEW","B",1
"57d2edf35e9bc90001f76b06","White",2801,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",4419,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",4326,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3126,"H","NEW","W",1
"57d2edf35e9bc90001f76b06","White",3061,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3418,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",4191,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",2424,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3883,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3319,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4185,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",4048,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",3592,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3935,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3762,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",4134,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3576,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",2971,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5941,"H","NEW","B",0
"57d2edf35e9bc90001f76b06","White",2757,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3810,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",2992,"H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3198,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",2805,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4357,"L","OLD","B",0
"57d2edf35e9bc90001f76b06","White",4374,"L","NEW","W",1
"57d2edf35e9bc90001f76b06","White",3003,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",2747,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4210,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3225,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",5453,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",2864,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",5278,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",8203,"H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",3219,"H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",2540,"H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",6089,"H","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3898,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",4590,"H","NEW","B",0
"57d2edf35e9bc90001f76b06","White",3951,"L","NEW","B",1
"57d2edf35e9bc90001f76b06","White",3020,"H","NEW","B",0
"57d2edf35e9bc90001f76b06","White",4461,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",3567,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3654,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3717,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3094,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",4609,"H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",2564,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",4203,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3578,"L","OLD","B",0
"57d2edf35e9bc90001f76b06","White",5795,"H","NEW","B",1
"57d2edf35e9bc90001f76b06","White",2661,"L","NEW","B",1
"57d2edf35e9bc90001f76b06","White",5681,"L","NEW","B",1
"57d2edf35e9bc90001f76b06","White",4577,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",5108,"H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",4129,"L","NEW","B",0
"57d2edf35e9bc90001f76b06","White",2269,"H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",6857,"L","OLD","W",0
"57d2edf35e9bc90001f76b06","White",4876,"H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",3782,"H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",6303,"H","OLD","W",0
"57d2edf35e9bc90001f76b06","White",8570,"H","OLD","W",1
"57d2edf35e9bc90001f76b06","White",5705,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",2967,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",3334,"L","OLD","W",1
"57d2edf35e9bc90001f76b06","White",5478,"H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",4436,"H","OLD","B",0
"57d2edf35e9bc90001f76b06","White",5242,"L","NEW","W",0
"57d2edf35e9bc90001f76b06","White",3414,"L","OLD","B",1
"57d2edf35e9bc90001f76b06","White",3642,"H","OLD","B",1
"57d2edf35e9bc90001f76b06","White",4535,"L","OLD","W",1
"5873b2d22bd3c90001859b76","White",2629,"H","NEW","B",0
